epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,948.005,1.93826,6.79341,1.98534,0.51146,0.10431,0.09987,0.04762,1.895,2.7262,2.00956,0.000185234,0.000185234,0.000185234
2,1869.91,1.83742,3.27387,1.88431,0.36769,0.14956,0.09818,0.04792,1.84802,2.76781,1.97894,0.000361396,0.000361396,0.000361396
3,2788.87,1.81459,3.06677,1.87202,0.3798,0.19614,0.12218,0.06005,1.73114,2.85013,1.92185,0.000528384,0.000528384,0.000528384
4,3704.27,1.77091,2.9275,1.838,0.4024,0.18116,0.14547,0.06651,1.7404,2.48411,1.95361,0.000514717,0.000514717,0.000514717
5,4624.6,1.73569,2.90315,1.81675,0.46135,0.16549,0.1597,0.0749,1.73251,2.42505,1.87161,0.000500956,0.000500956,0.000500956
6,5546.16,1.70811,2.68444,1.77127,0.40092,0.21054,0.17395,0.08355,1.68779,2.32959,1.84691,0.000487195,0.000487195,0.000487195
7,6458.85,1.68856,2.60678,1.75809,0.34668,0.23395,0.19918,0.09581,1.6604,2.17381,1.82014,0.000473434,0.000473434,0.000473434
8,7373.57,1.66234,2.58982,1.73426,0.34923,0.25021,0.21193,0.10395,1.64951,2.11141,1.82296,0.000459673,0.000459673,0.000459673
9,8285.57,1.6699,2.46379,1.74663,0.38809,0.25985,0.22459,0.10572,1.66031,2.14104,1.81974,0.000445912,0.000445912,0.000445912
10,9200.62,1.64188,2.3854,1.72731,0.29553,0.25847,0.2122,0.10347,1.62808,2.08016,1.779,0.000432151,0.000432151,0.000432151
11,10115,1.62966,2.38645,1.71843,0.30666,0.2666,0.23081,0.11306,1.60912,2.00718,1.7871,0.00041839,0.00041839,0.00041839
12,11027.3,1.61173,2.28852,1.69478,0.32535,0.29085,0.24778,0.1201,1.6119,2.01052,1.76155,0.000404629,0.000404629,0.000404629
13,11939.8,1.59873,2.36904,1.68862,0.34269,0.2932,0.26105,0.12876,1.60267,1.98399,1.75704,0.000390868,0.000390868,0.000390868
